Comienca comienca RG 0.952324
la el DA0FS0 0.897854
terçera 3 AO0FS0 0.0833333
parte parte NCFS000 0.467611
del del_de+del_el SP+DA 0.5
terçero 3 AO0MS0 0.5
libro libro NCMS000 0.993994
en en SPS00 1
que que PR0CN000 0.648953
ha haber VMIP3S0 0.633634
xxiii 23 Z 1
capitulos capítulo NCMP000 1
. . Fp 1

Capitulo capítulo NCMS000 1
primero 1 AO0MS0 0.73057
en en SPS00 1
que que PR0CN000 0.648953
muestra mostrar VMIP3S0 0.614458
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
gouernar gobernar VMN0000 1
el el DA0MS0 0.880831
regno reino NCMS000 0.592233
et et CC 1
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
en en SPS00 1
tienpo tiempo NCMS000 1
de de SPS00 0.999758
guerra guerra NCFS000 1
. . Fp 1

Aqui aquí RG 1
comiença comenzar VMIP3S0 0.954545
la el DA0FS0 0.897854
terçera 3 AO0FS0 0.0833333
parte parte NCFS000 0.467611
del del_de+del_el SP+DA 0.5
terçero 3 AO0MS0 0.5
libro libro NCMS000 0.993994
, , Fc 1
en en SPS00 1
que que PR0CN000 0.648953
muestra mostrar VMIP3S0 0.614458
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
gouernar gobernar VMN0000 1
el el DA0MS0 0.880831
reyno reino NCMS000 0.939394
et et CC 1
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
en en SPS00 1
tienpo tiempo NCMS000 1
de de SPS00 0.999758
guerra guerra NCFS000 1
. . Fp 1

Ca ca CS 0.982082
despues después RG 1
que que CS 0.351047
mostro mostrar VMIS3S0 1
en en SPS00 1
la el DA0FS0 0.897854
primera 1 AO0FS0 0.70892
parte parte NCFS000 0.467611
como como CS 0.953008
fablasen hablar VMSI3P0 1
los el DA0MP0 0.964169
filosofos filósofo NCMP000 1
antigos antiguo AQ0MP0 1
del del_de+del_el SP+DA 0.5
gouernamiento gobernamiento NCMS000 1
del del_de+del_el SP+DA 0.5
reyno reino NCMS000 0.939394
e e CC 1
de de SPS00 0.999758
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
et et CC 1
en en SPS00 1
la el DA0FS0 0.897854
segunda 2 AO0FS0 1
mostro mostrar VMIS3S0 1
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
gouernar gobernar VMN0000 1
la el DA0FS0 0.897854
çibdat ciudad NCFS000 1
et et CC 1
el el DA0MS0 0.880831
reyno reino NCMS000 0.939394
en en SPS00 1
tienpo tiempo NCMS000 1
de de SPS00 0.999758
paz paz NCFS000 1
, , Fc 1
segunt según SPS00 0.990196
la el DA0FS0 0.897854
opinion opinión NCFS000 1
de de SPS00 0.999758
aristotiles aristóteles NP000P0 1
: : Fd 1
aqui aquí RG 1
en en SPS00 1
esta este DD0FS0 0.817376
terçera 3 NCFS000 0.916667
parte parte NCFS000 0.467611
muestra mostrar VMIP3S0 0.614458
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
gouernar gobernar VMN0000 1
en en SPS00 1
tienpo tiempo NCMS000 1
de de SPS00 0.999758
guerra guerra NCFS000 1
, , Fc 1
e e CC 1
asy así RG 1
en en SPS00 1
toda todo DI0FS0 0.949029
esta este DD0FS0 0.817376
parte parte NCFS000 0.467611
non no RN 0.99968
fabla hablar VMIP3S0 0.98773
otra otro DI0FS0 0.675439
cosa cosa NCFS000 1
sinon sino CC 0.96875
de de SPS00 0.999758
batalla batalla NCFS000 1
et et CC 1
de de SPS00 0.999758
guerra guerra NCFS000 1
et et CC 1
de de SPS00 0.999758
como como CS 0.953008
deuen deber VMIP3P0 1
los el DA0MP0 0.964169
reyes rey NCMP000 1
tomarla tomar+lo VMN0000+PP3FSA00 1
o o CC 0.99692
reçebirla recibir+lo VMN0000+PP3FSA00 1
. . Fp 1

E e CC 1
aqui aquí RG 1
conviene convenir VMIP3S0 1
de de SPS00 0.999758
notar notar VMN0000 1
que que CS 0.351047
nunca nunca RG 1
los el DA0MP0 0.964169
reyes rey NCMP000 1
deuen deber VMIP3P0 1
fazer hacer VMN0000 1
guerra guerra NCFS000 1
nin ni CC 1
reçebirla recibir+lo VMN0000+PP3FSA00 1
sinon sino CC 0.96875
por por SPS00 1
derecha derecho AQ0FS0 0.847222
razon razón NCFS000 1
e e CC 1
con con SPS00 1
ordenada ordenar VMPS0SF 0.913043
entençion intención NCFS000 1
, , Fc 1
guardando guardar VMG0000 1
sienpre siempre RG 1
egualdat igualdad NCFS000 1
de de SPS00 0.999758
justiçia justicia NCFS000 1
. . Fp 1

ca ca CS 0.982082
segunt según SPS00 0.990196
que que PR0CN000 0.648953
dize decir VMIP3S0 1
en en SPS00 1
el el DA0MS0 0.880831
decreto decreto NCMS000 1
xxiiij° xxiiij° AQ0CS00 0.0305452
cap cabo NCMS000 1
: : Fd 1
las el DA0FP0 0.860393
batallas batalla NCFP000 1
puedense poder+se VMIP3P0+PP3CN000 1
tomar tomar VMN0000 1
segunt según SPS00 0.990196
el el DA0MS0 0.880831
Evangelio evangelio NCMS000 1
, , Fc 1
por por SPS00 1
tyrar tirar VMN0000 1
la el DA0FS0 0.897854
liçençia licencia NCFS000 0.815423
et et CC 1
el el DA0MS0 0.880831
atreuimiento atrevimiento NCMS000 1
de de SPS00 0.999758
maldat maldad NCFS000 1
, , Fc 1
et et CC 1
por por SPS00 1
neçesidat necesidad NCFS000 1
de de SPS00 0.999758
paz paz NCFS000 1
. . Fp 1

Ca ca CS 0.982082
en en SPS00 1
la el DA0FS0 0.897854
batalla batalla NCFS000 1
de de SPS00 0.999758
paz paz NCFS000 1
reprehendese reprender+se VMIP3S0+PP3CN000 0.913505
la el DA0FS0 0.897854
cobdiçia codicia NCFS000 0.815423
de de SPS00 0.999758
enpesçer empecer VMN0000 1
et et CC 1
la el DA0FS0 0.897854
crueldat crueldad NCFS000 1
del del_de+del_el SP+DA 0.5
mal mal RG 0.0878187
fazer hacer VMN0000 1
et et CC 1
el el DA0MS0 0.880831
coraçon corazón NCMS000 1
malo malo NCMS000 0.96875
de de SPS00 0.999758
los el DA0MP0 0.964169
que que PR0CN000 0.648953
turban turbar VMIP3P0 1
la el DA0FS0 0.897854
paz paz NCFS000 1
et et CC 1
la el DA0FS0 0.897854
anbiçion ambición NCFS000 1
de de SPS00 0.999758
enseñorear enseñorear VMN0000 1
. . Fp 1

Et et CC 1
eso ese PD0NS000 1
mesmo mismo PI0MS000 0.533835
dize decir VMIP3S0 1
sant santo NCMS000 0.60989
Agostin agustín NP000P0 1
contra contra SPS00 0.982979
faustun faustun AQ0CS00 0.285585
do donde PR000000 0.984536
dize decir VMIP3S0 1
que que PR0CN000 0.648953
buenas bueno AQ0FP0 1
son ser VSIP3P0 0.987239
las el DA0FP0 0.860393
batallas batalla NCFP000 1
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
fazen hacer VMIP3P0 1
para para SPS00 0.988789
refrenar refrenar VMN0000 1
los el DA0MP0 0.964169
malos malo AQ0MP0 0.990196
et et CC 1
ensalçar ensalzar VMN0000 1
los el DA0MP0 0.964169
buenos bueno AQ0MP0 1
et et CC 1
para para SPS00 0.988789
quebrantar quebrantar VMN0000 1
las el DA0FP0 0.860393
continuaçiones continuaçiones NCFP000 1
et et CC 1
las el DA0FP0 0.860393
sobervias soberbia NCFP000 0.633609
, , Fc 1
et et CC 1
para para SPS00 0.988789
fazer hacer VMN0000 1
obediençia obediencia NCFS000 1
a a SPS00 0.956937
la el DA0FS0 0.897854
republica república NCFS000 1
. . Fp 1

et et CC 1
alli allí RG 1
dize decir VMIP3S0 1
asaz asaz AQ0CS0 0.833333
desta desta_de+desta_este SP+DD 1
materia materia NCFS000 1
, , Fc 1
do donde PR000000 0.984536
dize decir VMIP3S0 1
que que CS 0.351047
la el DA0FS0 0.897854
abtoridat autoridad NCFS000 1
de de SPS00 0.999758
la el DA0FS0 0.897854
batalla batalla NCFS000 1
es ser VSIP3S0 1
en en SPS00 1
el el DA0MS0 0.880831
prinçipe príncipe NCMS000 1
et et CC 1
el el DA0MS0 0.880831
ofiçio oficio NCMS000 0.337326
de de SPS00 0.999758
segirla segirla NCFS000 0.533089
es ser VSIP3S0 1
en en SPS00 1
los el DA0MP0 0.964169
caualleros caballero NCMP000 0.954545
, , Fc 1
ca ca CS 0.982082
la el DA0FS0 0.897854
batalla batalla NCFS000 1
que que PR0CN000 0.648953
dios dios NCMS000 0.999067
manda mandar VMIP3S0 0.913043
fazer hacer VMN0000 1
non no RN 0.99968
ay haber VMIP3S0 0.451327
dubda duda NCFS000 0.916667
que que PR0CN000 0.648953
con con SPS00 1
derecho derecho NCMS000 0.830579
la lo PP3FSA00 0.10199
manda mandar VMIP3S0 0.913043
fazer hacer VMN0000 1
o o CC 0.99692
reçebir recibir VMN0000 1
, , Fc 1
et et CC 1
esto este PD0NS000 0.983631
para para SPS00 0.988789
quebrantar quebrantar VMN0000 1
et et CC 1
sojudgar sojuzgar VMN0000 1
la el DA0FS0 0.897854
sobervia soberbia NCFS000 0.633609
de de SPS00 0.999758
los el DA0MP0 0.964169
omes hombre NCMP000 1
mortales mortal AQ0CP0 0.366391
. . Fp 1

Et et CC 1
eso ese PD0NS000 1
mesmo mismo AQ0MS0 0.458647
dize decir VMIP3S0 1
el el DA0MS0 0.880831
decreto decreto NCMS000 1
en en SPS00 1
la el DA0FS0 0.897854
causa causa NCFS000 0.972603
sobredicha sobredicho AQ0FS0 1
capitulo capítulo NCMS000 1
vii° vii° NCMS000 0.175279
tomase tomar VMSI3S0 0.65
de de SPS00 0.999758
dicho decir VMPS0SM 0.994792
de de SPS00 0.999758
sant santo NCMS000 0.60989
Agostin agustín NP000P0 1
en en SPS00 1
la el DA0FS0 0.897854
v° 5 AQ0CS00 1
, , Fc 1
do donde PR000000 0.984536
dize decir VMIP3S0 1
si si CS 0.944444
puede poder VMIP3S0 0.960993
ser ser VSN0000 0.969613
, , Fc 1
con con SPS00 1
misiricordia misericordia NCFS000 1
se se PP3CN000 0.0107527
fagan hacer VMSP3P0 0.970833
las el DA0FP0 0.860393
batallas batalla NCFP000 1
de de SPS00 0.999758
los el DA0MP0 0.964169
buenos bueno AQ0MP0 1
para para SPS00 0.988789
