Capitulo capítulo NCMS000 1
xx 20 Z 1
. . Fp 1

do donde PR000000 0.984536
muestra mostrar VMIP3S0 0.614458
como como CS 0.953008
son ser VSIP3P0 0.987239
de de SPS00 0.999758
asentar asentar VMN0000 1
las el DA0FP0 0.860393
cibdades ciudad NCFP000 1
e e CC 1
los el DA0MP0 0.964169
castillos castillo NCMP000 1
por por SPS00 1
que que PR0CN000 0.648953
sean ser VSSP3P0 0.986111
fuertes fuerte AQ0CP0 1
e e CC 1
non no RN 0.99968
se se PP3CN000 0.0107527
puedan poder VMSP3P0 0.916667
tan tan RG 1
ayna aína RG 0.968254
tomar tomar VMN0000 1
. . Fp 1

DEspues después RG 1
que que CS 0.351047
dixo decir VMIS3S0 1
de de SPS00 0.999758
la el DA0FS0 0.897854
batalla batalla NCFS000 1
canpal campal AQ0CS0 1
en en SPS00 1
como como CS 0.953008
se saber VMIP1S0 0.763441
ha haber VMIP3S0 0.633634
de de SPS00 0.999758
fazer hacer VMN0000 1
e e CC 1
de de SPS00 0.999758
la el DA0FS0 0.897854
otra otro DI0FS0 0.675439
batalla batalla NCFS000 1
que que PR0CN000 0.648953
es ser VSIP3S0 1
de de SPS00 0.999758
çerca cerca RG 0.953488
aqui aquí RG 1
fabla hablar VMIP3S0 0.98773
de de SPS00 0.999758
la el DA0FS0 0.897854
batalla batalla NCFS000 1
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
faze hacer VMIP3S0 1
por por SPS00 1
defendimiento defendimiento NCMS000 1
asy así RG 1
como como CS 0.953008
quando cuándo PT000000 1
se saber VMIP1S0 0.763441
çercan cercar VMIP3P0 1
las el DA0FP0 0.860393
fortalezas fortaleza NCFP000 1
en en SPS00 1
qual cuál DT0CS0 1
manera manera NCFS000 1
se se PP3CN000 0.0107527
pueden poder VMIP3P0 1
defender defender VMN0000 1
los el DA0MP0 0.964169
de de SPS00 0.999758
dentro dentro RG 1
a a SPS00 0.956937
los el DA0MP0 0.964169
de de SPS00 0.999758
fuera fuera RG 0.630682
. . Fp 1

E e CC 1
lo el DA0NS0 0.30297
prinçipal principal NCMS000 0.633608
que que PR0CN000 0.648953
es ser VSIP3S0 1
menester menester NCMS000 1
para para SPS00 0.988789
que que PR0CN000 0.648953
se saber VMIP1S0 0.763441
meior mejor RG 0.261905
defiendan defender VMSP3P0 0.970833
los el DA0MP0 0.964169
cercados cercado NCMP000 0.539929
